('阜阳市卫生健康委员会', '信息泄露漏洞', '中危')
('上海中侨职业技术学院', 'SQL注入漏洞', '中危')
('上海中侨职业技术学院', 'SQL注入漏洞', '中危')
('海尔社区', '逻辑漏洞', '低危')
('辽宁奥克化学股份有限公司', 'SQL注入漏洞', '中危')
('凤凰网', '信息泄露漏洞', '低危')
('企业微信', '逻辑漏洞', '低危')
('辽宁省人力资源和社会保障厅', '弱口令漏洞', '中危')
('蓝润实业官网', 'SQL注入漏洞', '中危')
('重庆市绿色建筑专业委员会', '信息泄露漏洞', '低危')
('中国(长春)国际汽车博览会', 'SQL注入漏洞', '中危')
('爱迪尔(adel)集团', 'SQL注入漏洞', '中危')
('上海强生控股股份有限公司', 'SQL注入漏洞', '中危')
('杭州品茗工程造价软件有限公司', '权限绕过漏洞', '中危')
('海南省知识产权局', 'SQL注入漏洞', '中危')
('郑州市人社局', '弱口令漏洞', '中危')
('天狮集团——TIS管理系统', '信息泄露漏洞', '低危')
('吉他世界', '逻辑漏洞', '中危')
('牡丹江机关党建网', 'SQL注入漏洞', '中危')
('深圳安络科技有限公司', '信息泄露漏洞', '中危')
('祁阳县人民政府', '疑似被黑漏洞', '低危')
('盟拓软件（苏州）有限公司', '信息泄露漏洞', '低危')
('南宁市人民政协', '命令执行漏洞', '高危')
('四川众聚云购电子商务有限公司', '信息泄露漏洞', '低危')
('阿坝州人力资源和社会保障局', '弱口令漏洞', '中危')
('广州市人力资源和社会保障局', '弱口令漏洞', '高危')
('广州市人力资源和社会保障局', '代码执行漏洞', '高危')
('蛟河市共青团市委', 'SQL注入漏洞', '中危')
('苏州市职业大学', '信息泄露漏洞', '低危')
('济南铁路局', '弱口令漏洞', '低危')
('青藏铁路公司防洪网', '弱口令漏洞', '低危')
('国元农业保险股份有限公司', '弱口令漏洞', '高危')
('平湖在线网络传媒有限公司', '权限绕过漏洞', '低危')
('泸州国粹酒业有限公司', '权限绕过漏洞', '低危')
('文具一号', '信息泄露漏洞', '低危')
('石家庄以岭药业股份有限公司', 'SQL注入漏洞', '中危')
('东莞理工学院', 'SQL注入漏洞', '中危')
('沈阳供电', '弱口令漏洞', '低危')
('盐城美创网络科技有限公司', 'SQL注入漏洞', '高危')
('河北省科技工程学校', 'SQL注入漏洞', '中危')
('广东华立科技职业技术学院', '弱口令漏洞', '低危')
('智慧职教', '信息泄露漏洞', '低危')
('国家食品安全风险评估中心', '弱口令漏洞', '低危')
('武汉市卫生和计划生育委员会', '弱口令漏洞', '低危')
('商洛市环境保护局', '弱口令漏洞', '低危')
('安徽省蚌埠市环境保护局', '弱口令漏洞', '低危')
('扬州大学', '信息泄露漏洞', '低危')
('辽宁人社', '命令执行漏洞', '高危')
('成都市金牛区人民检察院', '弱口令漏洞', '中危')
('锦州医科大学', '权限绕过漏洞', '高危')
('山西晋城无烟煤矿业集团有限责任公司', '弱口令漏洞', '低危')
('昭通市人力资源和社会保障局', '弱口令漏洞', '高危')
('晋中市职教网', '弱口令漏洞', '中危')
('安徽省巢湖管理局', '弱口令漏洞', '低危')
('聊城市财政局', '弱口令漏洞', '低危')
('161股票配资网', 'XSS漏洞', '低危')
('湖南长沙新港有限责任公司', '弱口令漏洞', '低危')
('安徽财贸职业学院', '命令执行漏洞', '高危')
('山东省职业教育精品资源共享课建设系统', '弱口令漏洞', '低危')
('广州毅昌科技股份有限公司', 'SQL注入漏洞', '中危')
('兰州铁路局防洪网', '弱口令漏洞', '低危')
('本溪市财政局', '命令执行漏洞', '高危')
('巢湖水环境智能监管及GIS系统', '弱口令漏洞', '低危')
('广西省财政厅', '弱口令漏洞', '中危')
('泸州国粹酒业有限公司', '逻辑漏洞', '中危')
('通许县环境保护局', 'SQL注入漏洞', '低危')
('以岭药业电子采购平台电子采购平台注入', 'SQL注入漏洞', '中危')
('广州远程教育中心', '信息泄露漏洞', '低危')
('通许县环境保护局', 'SQL注入漏洞', '中危')
('海南槟榔谷黎苗文化旅游区', 'SQL注入漏洞', '中危')
('万色商城', '信息泄露漏洞', '低危')
('百草味', 'SQL注入漏洞', '中危')
('辽宁奥克化学股份有限公司', 'SQL注入漏洞', '中危')
('云南省财政厅', '弱口令漏洞', '中危')
('比高电影院', 'SQL注入漏洞', '中危')
('杞县人民政府', '任意文件操作漏洞', '高危')
('江苏盐城公安局', '弱口令漏洞', '高危')
('格兰仕官方商城', '信息泄露漏洞', '低危')
('百通物流', 'SQL注入漏洞', '中危')
('百草味', '权限绕过漏洞', '低危')
('甘肃林业职业技术学院', 'SQL注入漏洞', '中危')
('the history of whoo', '信息泄露漏洞', '低危')
('深圳汉码软件技术有限公司', 'SQL注入漏洞', '中危')
('杭州旅游集散中心', 'SQL注入漏洞', '中危')
('河南法学网', 'SQL注入漏洞', '中危')
('上海一亩田实业有限公司', 'SQL注入漏洞', '中危')
('百通物流', 'SQL注入漏洞', '中危')
('陇南徽县政协', 'SQL注入漏洞', '中危')
('中国(长春)国际汽车博览会', 'SQL注入漏洞', '中危')
('上海强生控股股份有限公司', 'SQL注入漏洞', '中危')
('广东省教育厅', '信息泄露漏洞', '高危')
('深圳技术大学', '弱口令漏洞', '低危')
('12321网络不良与垃圾信息举报受理中心', '逻辑漏洞', '低危')
('海南职业技术学院', '弱口令漏洞', '中危')
('重庆市公路局', '弱口令漏洞', '低危')
('宜昌工会', 'SQL注入漏洞', '中危')
('河北省易县县人民政府', '疑似被黑漏洞', '低危')
('中南民族大学', '弱口令漏洞', '低危')
('聊城市经济和信息化委员会', '弱口令漏洞', '中危')
('商洛市发改委', '弱口令漏洞', '低危')
('呼伦贝尔市财政局', '弱口令漏洞', '低危')
('新学商网上商城', '信息泄露漏洞', '低危')
('湖南长沙市新港有限责任公司', '信息泄露漏洞', '中危')
('深圳市动力启航软件有限公司', '弱口令漏洞', '低危')
('浙江汉维集团', 'SQL注入漏洞', '中危')
('湖北省武昌实验中学', '文件上传漏洞', '高危')
('江门市网上办事大厅', '弱口令漏洞', '高危')
('广东省航事务中心阳光政务平台', '信息泄露漏洞', '低危')
('白城市洮北区人民政府', 'SQL注入漏洞', '中危')
('天津市康婷生物工程有限公司', '逻辑漏洞', '低危')
('厦门意久贸易有限公司', '逻辑漏洞', '中危')
('合肥优尔电子科技有限公司', '信息泄露漏洞', '中危')
('廊坊市住房公积金管理中心', '弱口令漏洞', '中危')
('五洋建设集团股份有限公司', 'SQL注入漏洞', '中危')
('中国共产党石嘴山市委员会宣传部', '信息泄露漏洞', '低危')
('上海晨光文具', '命令执行漏洞', '高危')
('广元市科学技术协会', '代码执行漏洞', '低危')
('上海睿为通信技术有限公司', '信息泄露漏洞', '低危')
('福建省福州第八中学', '弱口令漏洞', '中危')
('四川省教育资源公共服务平台', '命令执行漏洞', '高危')
('抠抠网', '权限绕过漏洞', '中危')
('上海天游公司', '任意文件操作漏洞', '中危')
('晋中市农业委员会', '弱口令漏洞', '低危')
('第十九届国际石材展览会', '信息泄露漏洞', '中危')
('浙江省民政厅', '弱口令漏洞', '中危')
('金窝网', 'SQL注入漏洞', '中危')
('镇安县旅游局', '疑似被黑漏洞', '低危')
('珠海市斗门区政务服务', '弱口令漏洞', '高危')
('江西九江市人力资源和社会保障局', '弱口令漏洞', '中危')
('辽宁省科学技术厅', '信息泄露漏洞', '低危')
('滨州市水利局', 'SQL注入漏洞', '中危')
('晋中市农业委员会', '弱口令漏洞', '中危')
('中国科技技术大学', '信息泄露漏洞', '低危')
('中国镁都-大石桥市', '疑似被黑漏洞', '低危')
('海南热带海洋学院', '代码执行漏洞', '高危')
('合肥人才网', '逻辑漏洞', '中危')
('洛阳市工商行政管理局', '命令执行漏洞', '高危')
('昭通市人力资源和社会保障局', '命令执行漏洞', '高危')
('河南省食品药品监督管理局', '命令执行漏洞', '高危')
('锦州医科大学', '弱口令漏洞', '低危')
('锦州医科大学', '代码执行漏洞', '高危')
('锦州医科大学', '弱口令漏洞', '低危')
('北大方正软件技术学院', '弱口令漏洞', '中危')
('上海通天晓信息技术有限公司', '弱口令漏洞', '低危')
('甘肃林业职业技术学院', 'SQL注入漏洞', '中危')
('漳州市住房公积金管理中心', '命令执行漏洞', '高危')
('第一黄金网', '命令执行漏洞', '中危')
('隆基泰和实业有限公司', 'SQL注入漏洞', '中危')
('隆基泰和实业有限公司', 'SQL注入漏洞', '中危')
('海南软件职业技术学院', 'SQL注入漏洞', '中危')
('利宝保险有限公司', '信息泄露漏洞', '低危')
('四川明星电力股份有限公司', '命令执行漏洞', '高危')
('山东开创集团股份有限公司', '弱口令漏洞', '低危')
('重庆保税港区进出口商品贸易有限公司', '权限绕过漏洞', '中危')
('重庆三峡学院', '命令执行漏洞', '高危')
('衡水广播电视网', 'SQL注入漏洞', '中危')
('杭州市经济技术开发区', '弱口令漏洞', '低危')
('上海市公安局', '权限绕过漏洞', '低危')
('甘肃省公路管理局', '命令执行漏洞', '高危')
('燕赵财险', '代码执行漏洞', '高危')
('北京全时叁陆伍连锁便利店有限公司', '信息泄露漏洞', '中危')
('重庆市北碚区人民政府', '弱口令漏洞', '低危')
('苏州市高层次人才一站式服务平台', '信息泄露漏洞', '中危')
('昭通市人力资源和社会保障局', '弱口令漏洞', '高危')
('国信蓝桥教育科技（北京）股份有限公司', '逻辑漏洞', '低危')
('南京新华电脑专修学院', 'SQL注入漏洞', '中危')
('甘肃省白银市党建工作部', '信息泄露漏洞', '中危')
('国信蓝桥教育科技（北京）股份有限公司', '权限绕过漏洞', '低危')
('广州图书馆网上咨询台', '弱口令漏洞', '低危')
('沂源县机构编制网', '权限绕过漏洞', '低危')
('政和科技股份有限公司', '文件上传漏洞', '高危')
('网易126邮箱', 'XSS漏洞', '低危')
('迎泽区服务群众工作信息平台', '逻辑漏洞', '低危')
('辽宁省第二水文地质工程地质大队 大连北方基础工程有限公司', 'SQL注入漏洞', '中危')
('百草味', '信息泄露漏洞', '高危')
('焦作市公安局', '命令执行漏洞', '高危')
('河南省实验中学', 'SQL注入漏洞', '中危')
('河口海岸学国家重点实验室', '信息泄露漏洞', '低危')
('河南省实验中学', 'SQL注入漏洞', '中危')
('江西省希望工程', 'SQL注入漏洞', '低危')
('安徽省铜陵市政府', '命令执行漏洞', '高危')
('谢馥春官方商城', '权限绕过漏洞', '低危')
('中国民航科学技术研究院', '弱口令漏洞', '低危')
('恩施州中心医院│武汉大学恩施临床学院', '信息泄露漏洞', '低危')
('临汾市洪洞县人民医院', '弱口令漏洞', '低危')
('中国书画职称·作品润格评定中心官网', 'SQL注入漏洞', '中危')
('中国书画职称润格评估中心', 'SQL注入漏洞', '中危')
('辽宁省人力资源和社会保障厅', '命令执行漏洞', '高危')
('雷沃重工', '代码执行漏洞', '高危')
('上海谦盈投资管理有限公司', 'SQL注入漏洞', '中危')
('杭州旅游集散中心', 'SQL注入漏洞', '中危')
('一点通教学网', 'SQL注入漏洞', '中危')
('花鸟鱼虫网', 'SQL注入漏洞', '中危')
('新疆维吾尔自治区工商行政管理局', '弱口令漏洞', '高危')
('新疆维吾尔自治区工商行政管理局', '命令执行漏洞', '高危')
('辽宁省人力资源和社会保障厅', '弱口令漏洞', '高危')
('株洲市职工大学', 'SQL注入漏洞', '中危')
('南京市国土资源局', '弱口令漏洞', '低危')
('巴彦淖尔市交通运输局', 'SQL注入漏洞', '中危')
('昭通市人力资源和社会保障局', '弱口令漏洞', '高危')
('昭通市人力资源和社会保障局', '命令执行漏洞', '高危')
('广东都市丽人实业有限公司', 'SQL注入漏洞', '中危')
('中国共产主义青年团铜陵市委员会', '疑似被黑漏洞', '高危')
('深圳市梦想信息技术有限公司', '信息泄露漏洞', '低危')
('河南有线电视网络集团有限公司', '命令执行漏洞', '高危')
('阳江市以及辖区内信访系统', '弱口令漏洞', '低危')
('深圳汉码软件技术有限公司', 'SQL注入漏洞', '中危')
('黑龙江人民政府', '弱口令漏洞', '低危')
('韶关市以及辖区内信访系统', '弱口令漏洞', '低危')
('广东道一信息技术股份有限公司', '信息泄露漏洞', '低危')
('茂名市以及辖区内信访系统', '弱口令漏洞', '低危')
('上海一亩田实业有限公司', 'SQL注入漏洞', '中危')
('肇庆市以及辖区内信访系统', '弱口令漏洞', '低危')
('国家大剧院', '逻辑漏洞', '低危')
('云浮市以及辖区内信访系统', '弱口令漏洞', '低危')
('中国古田网', 'SQL注入漏洞', '中危')
('清远市以及辖区内信访系统', '弱口令漏洞', '低危')
('四川西南航空职业学院', 'SQL注入漏洞', '中危')
('中山市以及辖区内信访系统', '弱口令漏洞', '低危')
('桂林市食品药品监督管理局', '权限绕过漏洞', '中危')
('汕头市以及辖区内信访系统', '弱口令漏洞', '低危')
('泉州银行', '命令执行漏洞', '高危')
('漳州市住房公积金管理中心', '命令执行漏洞', '高危')
('惠州市以及辖区内信访系统', '弱口令漏洞', '低危')
('一通教育', '逻辑漏洞', '中危')
('梅州市以及辖区内信访系统', '弱口令漏洞', '低危')
('北京嘶吼文化传媒有限公司', '逻辑漏洞', '低危')
('迎泽区服务群众工作信息平台', 'SQL注入漏洞', '中危')
('牡丹江技师学院', '文件上传漏洞', '高危')
('湖南科技工业职业技术学院', 'SQL注入漏洞', '中危')
('吉林省长久实业集团有限公司', 'SQL注入漏洞', '中危')
('北京影视研修学院', 'SQL注入漏洞', '中危')
('河南广播电视台', '逻辑漏洞', '中危')
('重庆三峡学院', '任意文件操作漏洞', '低危')
('潍坊出口标准农产品流通平台', 'SQL注入漏洞', '中危')
('达内时代科技集团有限公司', '信息泄露漏洞', '低危')
('杭州新华书店网', '弱口令漏洞', '低危')
('四川西南航空职业学院', 'SQL注入漏洞', '中危')
('云南省森林防火网', 'SQL注入漏洞', '中危')
('河源职业技术学院', 'SQL注入漏洞', '中危')
('南京工业职业技术学院', '弱口令漏洞', '中危')
('渤海理工职业学院', 'SQL注入漏洞', '中危')
('阿里伯乐', '信息泄露漏洞', '低危')
('上海市气象局', '弱口令漏洞', '中危')
('中国京剧戏考', 'SQL注入漏洞', '中危')
('重庆三峡学院', 'SQL注入漏洞', '中危')
('动漫之家', 'XSS漏洞', '中危')
('苏州市人民政府', '弱口令漏洞', '中危')
('江苏省文物局', '信息泄露漏洞', '中危')
('中国苗木网', 'XSS漏洞', '中危')
('辽宁省体育局', '信息泄露漏洞', '低危')
('北京哲想软件有限公司', '文件上传漏洞', '高危')
('乐山市住房公积金管理中心', 'SQL注入漏洞', '中危')
('江苏省清江中学', '信息泄露漏洞', '中危')
('有有家家居网-任意注册', '信息泄露漏洞', '低危')
('北京趣乐科技有限公司', '权限绕过漏洞', '中危')
('纳米技术及应用国家工程研究中心-纳米中心', 'SQL注入漏洞', '中危')
('日照市人力资源和社会保障局', '信息泄露漏洞', '中危')
('聚蟹客', '逻辑漏洞', '中危')
('内蒙古煤矿安全监察局', '弱口令漏洞', '低危')
('盐城市大丰区人民政府', '信息泄露漏洞', '高危')
('金库网', '信息泄露漏洞', '低危')
('国骅集团', '文件包含漏洞', '中危')
('湖南交通职业技术学院', 'SQL注入漏洞', '中危')
('岳阳市工商行政管理局', '代码执行漏洞', '高危')
('四川西南航空职业学院', 'SQL注入漏洞', '中危')
('普宁市教育局', '信息泄露漏洞', '中危')
('江西省希望工程', 'SQL注入漏洞', '中危')
('海南省工业和信息化厅', '命令执行漏洞', '高危')
('上海市公安局', '信息泄露漏洞', '低危')
('淮安市标准信息服务平台', '信息泄露漏洞', '低危')
('博罗县信访系统', '弱口令漏洞', '低危')
('惠东县信访系统', '弱口令漏洞', '低危')
('潮州市以及辖区内信访系统', '弱口令漏洞', '低危')
('伊朗航运中国公司', 'SQL注入漏洞', '中危')
('太阳百货', 'SQL注入漏洞', '中危')
('汕尾市以及辖区内信访系统', '弱口令漏洞', '低危')
('吉林省长久实业集团有限公司', 'SQL注入漏洞', '中危')
('肇庆开放大学', 'SQL注入漏洞', '中危')
('深圳市三讯科技有限公司', 'SQL注入漏洞', '中危')
('巴彦淖尔市交通运输局', '逻辑漏洞', '低危')
('浙江树人大学', '疑似被黑漏洞', '低危')
('4993小游戏有限公司', 'SQL注入漏洞', '中危')
('国元农业保险股份有限公司', '命令执行漏洞', '高危')
('深圳小产权房网', 'SQL注入漏洞', '中危')
('上海家教网', '信息泄露漏洞', '低危')
('步步高点读机', 'SQL注入漏洞', '低危')
('灌南县人民法院网', 'SQL注入漏洞', '中危')
('我爱车汽车网', 'SQL注入漏洞', '中危')
('国元农业保险股份有限公司', '命令执行漏洞', '高危')
('江苏省广播电视局', '命令执行漏洞', '高危')
('高等教育出版社有限公司', '信息泄露漏洞', '中危')
('阜阳市人民政府法制办公室网站', '疑似被黑漏洞', '低危')
('营口市金融发展局', 'SQL注入漏洞', '中危')
('杭州捕翼网络科技有限公司', '信息泄露漏洞', '中危')
('重庆市专业气象服务系统', '弱口令漏洞', '中危')
('53office', 'SQL注入漏洞', '中危')
('云南省国防工业科技局', '弱口令漏洞', '低危')
('厚大法考', '命令执行漏洞', '高危')
('国元农业保险股份有限公司', '命令执行漏洞', '高危')
('河北省远程教育培训平台', '代码执行漏洞', '高危')
('清华附属中学', '信息泄露漏洞', '低危')
('辽宁奥克化学股份有限公司', 'SQL注入漏洞', '中危')
('中融人寿', '命令执行漏洞', '高危')
('水星家纺', '命令执行漏洞', '高危')
('南和信息', '信息泄露漏洞', '低危')
('中国人力资源开发网', '信息泄露漏洞', '高危')
('安徽造价招标咨询网', 'SQL注入漏洞', '低危')
('湖北农业科学杂志', 'SQL注入漏洞', '中危')
('媚眼网', '逻辑漏洞', '中危')
('巴彦淖尔市交通运输局', 'SQL注入漏洞', '低危')
('中检广西认证系统', '弱口令漏洞', '低危')
('巴彦淖尔市交通运输局', 'SQL注入漏洞', '低危')
('陕西历史博物馆', '弱口令漏洞', '中危')
('甘肃省公路管理局', '命令执行漏洞', '高危')
('山东省希望工程', 'XSS漏洞', '中危')
('甘肃省政府法制信息网', '代码执行漏洞', '高危')
('杭州几维逻辑科技有限公司', 'SQL注入漏洞', '中危')
('西安市职工大学', '弱口令漏洞', '低危')
('河北化工医药职业技术学院', '弱口令漏洞', '低危')
('临沂市房产和住房保障局', '信息泄露漏洞', '低危')
('全球五金网', '文件上传漏洞', '高危')
('基金速查网', '信息泄露漏洞', '低危')
('云付通支付科技有限公司', 'SQL注入漏洞', '中危')
('爱茉莉太平洋贸易有限公司', '逻辑漏洞', '低危')
('北京百会易泊科技有限公司', 'SQL注入漏洞', '中危')
('许昌市人事人才网', '信息泄露漏洞', '低危')
('新中新集团', '命令执行漏洞', '高危')
('辽宁省人力资源和社会保障厅', '命令执行漏洞', '高危')
('宁夏蚂蚁', '信息泄露漏洞', '低危')
('德阳国家高新技术产业开发区', '疑似被黑漏洞', '低危')
('桂林博物馆', '弱口令漏洞', '中危')
('晋城凤华学校家校', '信息泄露漏洞', '中危')
('中国内部审计协会', 'SQL注入漏洞', '中危')
('武汉东湖新技术开发区政务网', '弱口令漏洞', '高危')
('昭通市人力资源和社会保障局', '命令执行漏洞', '高危')
('康铭光电科技有限公司官网', '信息泄露漏洞', '中危')
('国信蓝桥教育科技（北京）股份有限公司', '逻辑漏洞', '中危')
('中国食用油网', '信息泄露漏洞', '低危')
('山西省图书馆网上咨询台', '弱口令漏洞', '低危')
('锦州医学院', '弱口令漏洞', '低危')
('云南省气象局', 'SQL注入漏洞', '中危')
('周口市统计局', '弱口令漏洞', '中危')
('随州市曾都区金思维网络科技有限公司', 'SQL注入漏洞', '中危')
('石家庄以岭药业股份有限公司', 'SQL注入漏洞', '中危')
('张家港市第一人民医院', '信息泄露漏洞', '低危')
('中国船舶工业集团有限公司', 'SQL注入漏洞', '中危')
('紫丁香', '信息泄露漏洞', '低危')
('银座网', '逻辑漏洞', '低危')
('吉林省水利水电工程局', 'SQL注入漏洞', '中危')
('中石化新星公司', '弱口令漏洞', '低危')
('句子迷', '权限绕过漏洞', '中危')
('第一白银网', '信息泄露漏洞', '低危')
('燕赵财险', '命令执行漏洞', '高危')
('邢台市安全生产监督管理局', '命令执行漏洞', '中危')
('吉林省水利水电工程局', 'SQL注入漏洞', '中危')
('辽宁省人力资源和社会保障厅', '弱口令漏洞', '高危')
('114培训网', '权限绕过漏洞', '中危')
('114培训网', '权限绕过漏洞', '中危')
('北京嘶吼文化传媒有限公司', 'XSS漏洞', '低危')
('北京嘶吼文化传媒有限公司', '逻辑漏洞', '中危')
('石首市人民政府办公室', '疑似被黑漏洞', '低危')
('尚装官网', '信息泄露漏洞', '高危')
('非常日韓美瞳', '代码执行漏洞', '高危')
('四川省投资集团有限责任公司', '命令执行漏洞', '高危')
('北京百福东方国际物流有限责任公司', '信息泄露漏洞', '高危')
('海尔施官网', '信息泄露漏洞', '低危')
('淄博市淄川区昆仑镇中心学校', '命令执行漏洞', '中危')
('内蒙古自治区中小企业公共服务平台', '信息泄露漏洞', '中危')
('大庆市城乡建设局', '命令执行漏洞', '高危')
('银城集团', 'SQL注入漏洞', '中危')
('一览网络有限公司', 'SQL注入漏洞', '中危')
('云南省气象中心', 'SQL注入漏洞', '中危')
('云南白药清逸堂实业有限公司', 'SQL注入漏洞', '中危')
('一加手机', '任意文件操作漏洞', '中危')
('中国电机工程学会', '逻辑漏洞', '中危')
('四川人事网', '疑似被黑漏洞', '低危')
('江西省食品药品监督管理局', '代码执行漏洞', '高危')
('郧西县医疗保障', 'SQL注入漏洞', '中危')
('谷姐网', '信息泄露漏洞', '低危')
('上海乐云网络科技有限公司', '信息泄露漏洞', '低危')
('宁波市计算机学会', '代码执行漏洞', '高危')
('中国共产主义青年团信宜市委员会', '命令执行漏洞', '高危')
('五凌电力有限公司', '命令执行漏洞', '高危')
('湖南省长沙市第一中学', '权限绕过漏洞', '低危')
('中国114招生网', 'XSS漏洞', '中危')
('镇江市经济和信息化委员会', '弱口令漏洞', '低危')
('碧桂园', '信息泄露漏洞', '高危')
('山东欧克家具有限公司', '文件上传漏洞', '高危')
('壹百分儿童产品有限公司', '文件上传漏洞', '高危')
('美高梅酒店', 'XSS漏洞', '中危')
('中国时尚网', 'XSS漏洞', '中危')
('中国书画职称润格评估中心', 'SQL注入漏洞', '中危')
('昭通市人力资源和社会保障局', '弱口令漏洞', '高危')
('四川省政府政务服务和公共资源交易服务中心', '弱口令漏洞', '低危')
('佛山市人力资源和社会保障局公共服务平台', '逻辑漏洞', '低危')
('快乐沃克人力资源网', '信息泄露漏洞', '高危')
('许昌市胖东来商贸集团有限公司', 'SQL注入漏洞', '中危')
('佛山市政府采购中心', '疑似被黑漏洞', '低危')
('梅州宣传网', '疑似被黑漏洞', '低危')
('泰安市人民政府', '弱口令漏洞', '低危')
('法搜网', 'SQL注入漏洞', '中危')
('广州大学华软软件学院', '弱口令漏洞', '低危')
('上海新世纪资信评估投资服务有限公司', '信息泄露漏洞', '低危')
('菏泽机构编制网', '文件上传漏洞', '高危')
('北京中能联合工程技术有限公司', '信息泄露漏洞', '低危')
('康乃尔化学工业股份有限公司', 'SQL注入漏洞', '中危')
('方太集团', 'SQL注入漏洞', '中危')
('北京朗津网络信息技术有限公司', 'SQL注入漏洞', '中危')
('湖南龙骧巴士责任有限公司', 'SQL注入漏洞', '高危')
('苏州工业园区培训管理中心', '疑似被黑漏洞', '低危')
('武当党建网', '疑似被黑漏洞', '低危')
('舒华体育股份有限公司', '信息泄露漏洞', '低危')
('聚惠企业登记代理有限公司', '信息泄露漏洞', '中危')
('中建三局第一建设工程有限责任公司', 'SQL注入漏洞', '中危')
('中共十堰市张湾党建网', '疑似被黑漏洞', '低危')
('瑞芯微电子', '信息泄露漏洞', '高危')
('炒邮网', '信息泄露漏洞', '低危')
('简单学习网', 'XSS漏洞', '中危')
('简单学习网', 'XSS漏洞', '中危')
('北京市昌平区人民法院', '弱口令漏洞', '高危')
('贵州省改革云平台', '弱口令漏洞', '低危')
('千库网', '信息泄露漏洞', '低危')
('标天下', '信息泄露漏洞', '低危')
('昭通市人力资源和社会保障局', '弱口令漏洞', '高危')
('中国青少年军事训练营', 'SQL注入漏洞', '中危')
('浙江信电技术股份有限公司', '信息泄露漏洞', '低危')
('石家庄科技信息职业学院', 'SQL注入漏洞', '中危')
('上海象印家用电器有限公司', 'SQL注入漏洞', '中危')
('泽畔信息', '信息泄露漏洞', '中危')
('动漫之家', 'XSS漏洞', '中危')
('永康市政协委员会', '弱口令漏洞', '低危')
('动漫之家', '权限绕过漏洞', '中危')
('吉林农业大学', '弱口令漏洞', '中危')
('河南省工艺美术学校', '信息泄露漏洞', '中危')
('河南省工艺美术学校', '弱口令漏洞', '中危')
('北京华联集团股份有限公司', '逻辑漏洞', '低危')
('深圳市善领汽车电子科技有限公司', 'SQL注入漏洞', '中危')
('香港贸发局', 'SQL注入漏洞', '中危')
('深圳誉杰管理咨询有限公司', 'SQL注入漏洞', '中危')
('国家电网有限公司', '弱口令漏洞', '低危')
('北京市政建设集团有限责任公司', '弱口令漏洞', '中危')
('中国时尚网', 'SQL注入漏洞', '中危')
('上海恭胜酒店管理有限公司', 'SQL注入漏洞', '中危')
('春天二手车', 'SQL注入漏洞', '中危')
('时代中国控股有限公司', 'SQL注入漏洞', '高危')
('哈尔滨人力资源社会保障局', '弱口令漏洞', '低危')
('大庆市房产管理局', '命令执行漏洞', '高危')
('佛山市人力资源和社会保障局公共服务平台', '逻辑漏洞', '低危')
('中国石油和化工网公司', '权限绕过漏洞', '中危')
('中国石油和化工网', 'XSS漏洞', '中危')
('新疆生产建设兵团', '命令执行漏洞', '高危')
('新疆生产建设兵团', 'SQL注入漏洞', '中危')
('新疆生产建设兵团', 'SQL注入漏洞', '中危')
('浙江企联网', 'SQL注入漏洞', '中危')
('燕赵财险', '弱口令漏洞', '高危')
('燕赵财险', '弱口令漏洞', '高危')
('燕赵财险', '代码执行漏洞', '高危')
('黔东南民族职业技术学院', 'SQL注入漏洞', '中危')
('太原市迎泽区服务群众工作信息平台', 'SQL注入漏洞', '中危')
('集美大学', 'SQL注入漏洞', '中危')
('北京市人民法院', '权限绕过漏洞', '高危')
('国信蓝桥教育科技（北京）股份有限公司', 'XSS漏洞', '低危')
('五粮液', '权限绕过漏洞', '低危')
('五粮液', '权限绕过漏洞', '低危')
('五粮液', '逻辑漏洞', '低危')
('五粮液', '逻辑漏洞', '低危')
('国元农业保险股份有限公司', '命令执行漏洞', '高危')
('国元农业保险股份有限公司', '弱口令漏洞', '高危')
('宁波华茂教育集团', 'SQL注入漏洞', '中危')
('中共肇庆市委老干部局', '疑似被黑漏洞', '低危')
('法治武宁网', '疑似被黑漏洞', '低危')
('武宁廉政网', '疑似被黑漏洞', '低危')
('沈阳市信用中心', '疑似被黑漏洞', '低危')
('河西学院', '疑似被黑漏洞', '低危')
('黑龙江省农业信息网', '疑似被黑漏洞', '低危')
('景德镇房产管理局', '信息泄露漏洞', '低危')
('武汉设计工程学院', '疑似被黑漏洞', '低危')
('深圳市亿维自动化技术有限公司', '信息泄露漏洞', '低危')
('嘉祥县人民政府', '代码执行漏洞', '高危')
('钦州市人民政府', 'SQL注入漏洞', '中危')
('上海精浦机电有限公司', '弱口令漏洞', '低危')
('动漫之家', 'SQL注入漏洞', '中危')
('山西工程技术学院', '弱口令漏洞', '低危')
('Sub HD 字幕站', 'SQL注入漏洞', '中危')
('中评网', 'SQL注入漏洞', '中危')
('西瓜影院', '信息泄露漏洞', '低危')
('苍南县邻家房产经纪有限公司', 'SQL注入漏洞', '中危')
('新疆气象网站', '弱口令漏洞', '低危')
('中国西藏自治区委员会党校', '弱口令漏洞', '低危')
('有机化学网', 'SQL注入漏洞', '中危')
('上海市商业学校', 'SQL注入漏洞', '中危')
('爱彩乐', 'SQL注入漏洞', '中危')
('宁德天地图网', 'SQL注入漏洞', '中危')
('潍坊出口标准农产品流通平台', 'SQL注入漏洞', '中危')
